segment_id,frame_id,host_ns,analysis_time_s,corner_index,x_px,y_px
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,0,319.519928,235.464661
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,1,303.577057,235.480957
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,2,287.479065,235.484009
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,3,271.559814,235.495651
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,4,255.535950,235.482590
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,5,239.463913,235.479813
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,6,223.558899,235.473343
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,7,207.517456,235.490753
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,8,191.517517,235.494263
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,9,175.566589,235.499695
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,10,159.511169,235.469971
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,11,319.528992,219.523071
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,12,303.626923,219.513702
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,13,287.484009,219.520462
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,14,271.526276,219.470917
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,15,255.564514,219.521469
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,16,239.481827,219.494736
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,17,223.557632,219.537186
pretest-J1-a0p01-d-1-r01-move-to,1414,2544869867893120,0.000000,18,207.523682,219.515503
